Drug	Drug_Status	Sensitivity	Specificity	ACC	PPV	NPV	FPR	Classifier
Dasatinib_IC_50.1	Sensitive	0.466666667	0.929577465	0.899122807	0.318181818	0.961165049	0.070422535	Deep Learning
DMOG_IC_50.1	Resistant	0.206896552	0.979899498	0.881578947	0.6	0.894495413	0.020100503	Deep Learning
DMOG_IC_50.1	Sensitive	0.382352941	0.958762887	0.872807018	0.619047619	0.898550725	0.041237113	Deep Learning
Docetaxel_IC_50.1	Resistant	0.575757576	0.835897436	0.798245614	0.37254902	0.920903955	0.164102564	Deep Learning
Docetaxel_IC_50.1	Sensitive	0.166666667	1	0.912280702	1	0.910714286	0	Deep Learning
Doxorubicin_IC_50.1	Resistant	0.153846154	0.99009901	0.894736842	0.666666667	0.900900901	0.00990099	Deep Learning
Doxorubicin_IC_50.1	Sensitive	0.411764706	0.912371134	0.837719298	0.451612903	0.898477157	0.087628866	Deep Learning
EHT.1864_IC_50.1	Resistant	0.486486487	0.759162304	0.714912281	0.28125	0.884146342	0.240837696	Deep Learning
EHT.1864_IC_50.1	Sensitive	0.375	0.946808511	0.846491228	0.6	0.876847291	0.053191489	Deep Learning
Elesclomol_IC_50.1	Resistant	0.609756098	0.882352941	0.833333333	0.531914894	0.91160221	0.117647059	Deep Learning
Elesclomol_IC_50.1	Sensitive	0.105263158	1	0.925438597	1	0.924778761	0	Deep Learning
Embelin_IC_50.1	Resistant	0.357142857	0.93	0.859649123	0.416666667	0.911764706	0.07	Deep Learning
Embelin_IC_50.1	Sensitive	0.5	0.899038462	0.864035088	0.322580645	0.949238579	0.100961539	Deep Learning
Epothilone.B_IC_50.1	Resistant	0.333333333	0.995098039	0.925438597	0.888888889	0.926940639	0.004901961	Deep Learning
Epothilone.B_IC_50.1	Sensitive	0.222222222	0.995024876	0.903508772	0.857142857	0.904977376	0.004975124	Deep Learning
Erlotinib_IC_50.1	Resistant	0.333333333	0.99086758	0.964912281	0.6	0.97309417	0.00913242	Deep Learning
Erlotinib_IC_50.1	Sensitive	0.285714286	0.956521739	0.894736842	0.4	0.929577465	0.043478261	Deep Learning
Etoposide_IC_50.1	Resistant	0.730769231	0.752475248	0.75	0.275362319	0.955974843	0.247524753	Deep Learning
Etoposide_IC_50.1	Sensitive	0.64516129	0.786802031	0.76754386	0.322580645	0.93373494	0.21319797	Deep Learning
FH535_IC_50.1	Resistant	0.344827586	0.974874372	0.894736842	0.666666667	0.910798122	0.025125628	Deep Learning
FH535_IC_50.1	Sensitive	0.952380952	0.473429952	0.51754386	0.15503876	0.98989899	0.526570048	Deep Learning
FTI.277_IC_50.1	Resistant	0.571428571	0.875647668	0.828947368	0.454545455	0.918478261	0.124352332	Deep Learning
FTI.277_IC_50.1	Sensitive	0.515151515	0.897435897	0.842105263	0.45945946	0.916230367	0.102564103	Deep Learning
GDC.0449_IC_50.1	Resistant	0.766666667	0.782828283	0.780701754	0.348484849	0.956790124	0.217171717	Deep Learning
GDC.0449_IC_50.1	Sensitive	0.567567568	0.848167539	0.802631579	0.42	0.91011236	0.151832461	Deep Learning
GDC0941_IC_50.1	Resistant	0.216216216	1	0.872807018	1	0.868181818	0	Deep Learning
GDC0941_IC_50.1	Sensitive	0.342105263	0.936842105	0.837719298	0.52	0.876847291	0.063157895	Deep Learning
Gefitinib_IC_50.1	Resistant	0.8	0.616161616	0.640350877	0.24	0.953125	0.383838384	Deep Learning
Gefitinib_IC_50.1	Sensitive	0.388888889	0.973958333	0.881578947	0.736842105	0.894736842	0.026041667	Deep Learning
Gemcitabine_IC_50.1	Resistant	0.743589744	0.698412698	0.706140351	0.337209302	0.929577465	0.301587302	Deep Learning
Gemcitabine_IC_50.1	Sensitive	0.368421053	0.963157895	0.864035088	0.666666667	0.884057971	0.036842105	Deep Learning
GNF.2_IC_50.1	Resistant	0.333333333	0.99537037	0.960526316	0.8	0.964125561	0.00462963	Deep Learning
GNF.2_IC_50.1	Sensitive	0.642857143	0.728971963	0.723684211	0.134328358	0.968944099	0.271028037	Deep Learning
GSK.1904529A_IC_50.1	Resistant	0.733333333	0.858585859	0.842105263	0.44	0.95505618	0.141414141	Deep Learning
GSK.1904529A_IC_50.1	Sensitive	0.317073171	0.941176471	0.828947368	0.541666667	0.862745098	0.058823529	Deep Learning
GSK.650394_IC_50.1	Resistant	0.333333333	0.967213115	0.842105263	0.714285714	0.855072464	0.032786885	Deep Learning
GSK.650394_IC_50.1	Sensitive	0.214285714	0.983870968	0.842105263	0.75	0.847222222	0.016129032	Deep Learning
GSK269962A_IC_50.1	Resistant	0.157894737	0.985645933	0.916666667	0.5	0.927927928	0.014354067	Deep Learning
GSK269962A_IC_50.1	Sensitive	0.545454546	0.935483871	0.916666667	0.3	0.975961539	0.064516129	Deep Learning
GW.441756_IC_50.1	Resistant	0.470588235	0.867298578	0.837719298	0.222222222	0.953125	0.132701422	Deep Learning
GW.441756_IC_50.1	Sensitive	0.846153846	0.608465609	0.649122807	0.308411215	0.950413223	0.391534392	Deep Learning
GW843682X_IC_50.1	Resistant	0.222222222	0.990476191	0.929824561	0.666666667	0.936936937	0.00952381	Deep Learning
GW843682X_IC_50.1	Sensitive	0.454545455	0.98156682	0.956140351	0.555555556	0.97260274	0.01843318	Deep Learning
Imatinib_IC_50.1	Resistant	0.666666667	0.728888889	0.728070175	0.031746032	0.993939394	0.271111111	Deep Learning
Imatinib_IC_50.1	Sensitive	0.307692308	0.967441861	0.929824561	0.363636364	0.958525346	0.03255814	Deep Learning
IPA.3_IC_50.1	Resistant	0.216216216	0.984293194	0.859649123	0.727272727	0.866359447	0.015706806	Deep Learning
IPA.3_IC_50.1	Sensitive	0.520833333	0.866666667	0.793859649	0.510204082	0.87150838	0.133333333	Deep Learning
JNJ.26854165_IC_50.1	Resistant	0.294117647	0.953608247	0.855263158	0.52631579	0.885167464	0.046391753	Deep Learning
JNJ.26854165_IC_50.1	Sensitive	0.538461539	0.935643564	0.890350877	0.518518519	0.940298508	0.064356436	Deep Learning
JNK.9L_IC_50.1	Resistant	0.208333333	0.985294118	0.903508772	0.625	0.913636364	0.014705882	Deep Learning
JNK.9L_IC_50.1	Sensitive	0.166666667	0.995098039	0.907894737	0.8	0.910313901	0.004901961	Deep Learning
JNK.Inhibitor.VIII_IC_50.1	Resistant	0.230769231	0.945544555	0.864035088	0.352941177	0.90521327	0.054455446	Deep Learning
JNK.Inhibitor.VIII_IC_50.1	Sensitive	0.545454546	0.784615385	0.75	0.3	0.910714286	0.215384615	Deep Learning
JW.7.52.1_IC_50.1	Resistant	0.590909091	0.936893204	0.903508772	0.5	0.955445545	0.063106796	Deep Learning
JW.7.52.1_IC_50.1	Sensitive	0.529411765	0.848341232	0.824561404	0.219512195	0.957219251	0.151658768	Deep Learning
KIN001.135_IC_50.1	Resistant	0.285714286	0.995327103	0.951754386	0.8	0.955156951	0.004672897	Deep Learning
KIN001.135_IC_50.1	Sensitive	0.352941177	0.928909953	0.885964912	0.285714286	0.946859903	0.071090047	Deep Learning
KU.55933_IC_50.1	Resistant	0.594594595	0.769633508	0.74122807	0.333333333	0.907407407	0.230366492	Deep Learning
KU.55933_IC_50.1	Sensitive	0.380952381	0.908602151	0.811403509	0.484848485	0.866666667	0.09139785	Deep Learning
Lapatinib_IC_50.1	Resistant	0.181818182	1	0.960526316	1	0.960176991	0	Deep Learning
Lapatinib_IC_50.1	Sensitive	0.176470588	0.995260664	0.934210526	0.75	0.9375	0.004739337	Deep Learning
LAQ824_IC_50.1	Resistant	0.391304348	0.931707317	0.877192983	0.391304348	0.931707317	0.068292683	Deep Learning
LAQ824_IC_50.1	Sensitive	0.32	0.950738916	0.881578947	0.444444444	0.919047619	0.049261084	Deep Learning
Lenalidomide_IC_50.1	Resistant	0.25	0.870192308	0.815789474	0.15625	0.923469388	0.129807692	Deep Learning
Lenalidomide_IC_50.1	Sensitive	0.28125	0.964285714	0.868421053	0.5625	0.891509434	0.035714286	Deep Learning
LFM.A13_IC_50.1	Resistant	0.826086957	0.609756098	0.631578947	0.191919192	0.968992248	0.390243902	Deep Learning
LFM.A13_IC_50.1	Sensitive	0.441176471	0.917525773	0.846491228	0.483870968	0.9035533	0.082474227	Deep Learning
Methotrexate_IC_50.1	Resistant	0.741935484	0.725888325	0.728070175	0.298701299	0.947019868	0.274111675	Deep Learning
Methotrexate_IC_50.1	Sensitive	0.605263158	0.921052632	0.868421053	0.605263158	0.921052632	0.078947368	Deep Learning
MG.132_IC_50.1	Resistant	0.764705882	0.843601896	0.837719298	0.282608696	0.978021978	0.156398104	Deep Learning
MG.132_IC_50.1	Sensitive	0.2	0.97979798	0.877192983	0.6	0.889908257	0.02020202	Deep Learning
Midostaurin_IC_50.1	Resistant	0.333333333	0.951612903	0.837719298	0.608695652	0.863414634	0.048387097	Deep Learning
Midostaurin_IC_50.1	Sensitive	0.488888889	0.950819672	0.859649123	0.709677419	0.883248731	0.049180328	Deep Learning
Mitomycin.C_IC_50.1	Resistant	0.285714286	0.956521739	0.894736842	0.4	0.929577465	0.043478261	Deep Learning
Mitomycin.C_IC_50.1	Sensitive	0.416666667	0.950980392	0.894736842	0.5	0.932692308	0.049019608	Deep Learning
MK.2206_IC_50.1	Resistant	0.162790698	0.983783784	0.828947368	0.7	0.834862385	0.016216216	Deep Learning
MK.2206_IC_50.1	Sensitive	0.638888889	0.890625	0.850877193	0.522727273	0.929347826	0.109375	Deep Learning
MS.275_IC_50.1	Resistant	0.066666667	1	0.938596491	1	0.938325991	0	Deep Learning
MS.275_IC_50.1	Sensitive	0.583333333	0.930555556	0.912280702	0.318181818	0.975728155	0.069444444	Deep Learning
Nilotinib_IC_50.1	Sensitive	0.208333333	0.995098039	0.912280702	0.833333333	0.914414414	0.004901961	Deep Learning
NSC.87877_IC_50.1	Resistant	0.818181818	0.493087558	0.50877193	0.075630252	0.981651376	0.506912442	Deep Learning
NSC.87877_IC_50.1	Sensitive	0.086956522	1	0.907894737	1	0.907079646	0	Deep Learning
NU.7441_IC_50.1	Resistant	0.4375	0.959183674	0.885964912	0.636363636	0.912621359	0.040816327	Deep Learning
NU.7441_IC_50.1	Sensitive	0.346153846	0.892045455	0.76754386	0.486486487	0.821989529	0.107954546	Deep Learning
Nutlin.3a_IC_50.1	Resistant	0.4375	0.923469388	0.855263158	0.482758621	0.909547739	0.076530612	Deep Learning
Nutlin.3a_IC_50.1	Sensitive	0.795454546	0.929347826	0.903508772	0.729166667	0.95	0.070652174	Deep Learning
NVP.BEZ235_IC_50.1	Resistant	0.714285714	0.79	0.780701754	0.322580645	0.951807229	0.21	Deep Learning
NVP.BEZ235_IC_50.1	Sensitive	0.925925926	0.273631841	0.350877193	0.14619883	0.964912281	0.726368159	Deep Learning
NVP.TAE684_IC_50.1	Resistant	0.291666667	0.985294118	0.912280702	0.7	0.922018349	0.014705882	Deep Learning
NVP.TAE684_IC_50.1	Sensitive	0.272727273	0.995391705	0.960526316	0.75	0.964285714	0.004608295	Deep Learning
Obatoclax.Mesylate_IC_50.1	Resistant	0.307692308	0.995049505	0.916666667	0.888888889	0.917808219	0.004950495	Deep Learning
Obatoclax.Mesylate_IC_50.1	Sensitive	0.628571429	0.886010363	0.846491228	0.5	0.929347826	0.113989637	Deep Learning
OSI.906_IC_50.1	Resistant	0.333333333	0.974747475	0.890350877	0.666666667	0.906103286	0.025252525	Deep Learning
OSI.906_IC_50.1	Sensitive	0.461538462	0.925742574	0.872807018	0.444444444	0.930348259	0.074257426	Deep Learning
OSU.03012_IC_50.1	Resistant	0.897435897	0.507936508	0.574561404	0.2734375	0.96	0.492063492	Deep Learning
OSU.03012_IC_50.1	Sensitive	0.590909091	0.820652174	0.77631579	0.440677966	0.893491124	0.179347826	Deep Learning
PAC.1_IC_50.1	Resistant	0.078947368	1	0.846491228	1	0.844444444	0	Deep Learning
PAC.1_IC_50.1	Sensitive	0.444444444	0.902298851	0.793859649	0.585365854	0.839572193	0.097701149	Deep Learning
Paclitaxel_IC_50.1	Resistant	0.166666667	0.995238095	0.929824561	0.75	0.933035714	0.004761905	Deep Learning
Paclitaxel_IC_50.1	Sensitive	0.857142857	0.827102804	0.828947368	0.244897959	0.988826816	0.172897196	Deep Learning
Parthenolide_IC_50.1	Resistant	0.6	0.971830986	0.947368421	0.6	0.971830986	0.028169014	Deep Learning
Parthenolide_IC_50.1	Sensitive	0.111111111	1	0.929824561	1	0.92920354	0	Deep Learning
Pazopanib_IC_50.1	Resistant	0.130434783	0.995121951	0.907894737	0.75	0.910714286	0.004878049	Deep Learning
Pazopanib_IC_50.1	Sensitive	0.735294118	0.721649485	0.723684211	0.316455696	0.939597315	0.278350516	Deep Learning
PD.0325901_IC_50.1	Resistant	0.422222222	0.928961749	0.828947368	0.59375	0.867346939	0.071038251	Deep Learning
PD.0325901_IC_50.1	Sensitive	0.476190476	0.930107527	0.846491228	0.606060606	0.887179487	0.069892473	Deep Learning
PD.0332991_IC_50.1	Resistant	0.745098039	0.706214689	0.714912281	0.422222222	0.905797101	0.293785311	Deep Learning
PD.0332991_IC_50.1	Sensitive	0.216216216	0.994764398	0.868421053	0.888888889	0.867579909	0.005235602	Deep Learning
PD.173074_IC_50.1	Resistant	0.142857143	0.981308411	0.929824561	0.333333333	0.945945946	0.018691589	Deep Learning
PD.173074_IC_50.1	Sensitive	0.472222222	0.9375	0.864035088	0.586206897	0.904522613	0.0625	Deep Learning
PF.02341066_IC_50.1	Resistant	0.333333333	0.986486487	0.969298246	0.4	0.98206278	0.013513514	Deep Learning
PF.02341066_IC_50.1	Sensitive	0.375	0.990566038	0.947368421	0.75	0.954545455	0.009433962	Deep Learning
PF.4708671_IC_50.1	Resistant	0.488372093	0.848648649	0.780701754	0.428571429	0.877094972	0.151351351	Deep Learning
PF.4708671_IC_50.1	Sensitive	0.2	0.994680851	0.855263158	0.888888889	0.853881279	0.005319149	Deep Learning
PF.562271_IC_50.1	Resistant	0.533333333	0.914141414	0.864035088	0.484848485	0.928205128	0.085858586	Deep Learning
PF.562271_IC_50.1	Sensitive	0.315789474	0.978947368	0.868421053	0.75	0.877358491	0.021052632	Deep Learning
PHA.665752_IC_50.1	Resistant	0.333333333	0.95945946	0.942982456	0.181818182	0.98156682	0.040540541	Deep Learning
PHA.665752_IC_50.1	Sensitive	0.411764706	0.90521327	0.868421053	0.259259259	0.950248756	0.09478673	Deep Learning
PLX4720_IC_50.1	Resistant	0.433333333	0.914141414	0.850877193	0.433333333	0.914141414	0.085858586	Deep Learning
PLX4720_IC_50.1	Sensitive	0.682926829	0.759358289	0.745614035	0.383561644	0.916129032	0.240641711	Deep Learning
Pyrimethamine_IC_50.1	Resistant	0.103448276	1	0.885964912	1	0.884444444	0	Deep Learning
Pyrimethamine_IC_50.1	Sensitive	0.35	0.980769231	0.925438597	0.636363636	0.940092166	0.019230769	Deep Learning
QS11_IC_50.1	Resistant	0.146341463	0.994652406	0.842105263	0.857142857	0.841628959	0.005347594	Deep Learning
QS11_IC_50.1	Sensitive	0.675675676	0.785340314	0.76754386	0.378787879	0.925925926	0.214659686	Deep Learning
Rapamycin_IC_50.1	Resistant	0.8	0.765258216	0.76754386	0.193548387	0.981927711	0.234741784	Deep Learning
Rapamycin_IC_50.1	Sensitive	0.214285714	0.990654206	0.942982456	0.6	0.950672646	0.009345794	Deep Learning
RDEA119_IC_50.1	Resistant	0.591836735	0.893854749	0.828947368	0.604166667	0.888888889	0.106145251	Deep Learning
RDEA119_IC_50.1	Sensitive	0.416666667	0.963541667	0.877192983	0.681818182	0.898058252	0.036458333	Deep Learning
RO.3306_IC_50.1	Resistant	0.346153846	0.940594059	0.872807018	0.428571429	0.917874396	0.059405941	Deep Learning
RO.3306_IC_50.1	Sensitive	0.888888889	0.536458333	0.592105263	0.26446281	0.962616822	0.463541667	Deep Learning
